order_line_id,order_id,order_date,customer_id,customer_segment,product_id,product_name,category,region,sales_channel,quantity,unit_price,unit_cost,discount_amount,revenue,cost,campaign,marketing_spend
LINE-0000001,ORD-000001,2024-01-01,CUST-0233,Loyal,PROD-KIT-001,Essential Cookware Set,Kitchen,Central,Web,1,220.00,197.00,19.80,200.20,197.00,,5.17
LINE-0000002,ORD-000002,2024-01-01,CUST-0152,Loyal,PROD-HOM-001,Linen Throw Set,Home,South,Marketplace,1,88.00,42.00,2.64,85.36,42.00,Sponsored Listings,14.49
LINE-0000003,ORD-000003,2024-01-01,CUST-1151,New,PROD-HOM-001,Linen Throw Set,Home,West,Marketplace,1,88.00,42.00,2.64,85.36,42.00,Sponsored Listings,15.49
LINE-0000004,ORD-000004,2024-01-01,CUST-0221,Loyal,PROD-KIT-002,Glass Meal Prep Set,Kitchen,Central,Marketplace,2,58.00,27.00,15.08,100.92,54.00,Sponsored Listings,19.53
LINE-0000005,ORD-000005,2024-01-02,CUST-0257,Occasional,PROD-KIT-001,Essential Cookware Set,Kitchen,Central,Web,2,220.00,197.00,17.60,422.40,394.00,Email Retention,12.00
LINE-0000006,ORD-000005,2024-01-02,CUST-0257,Occasional,PROD-HOM-001,Linen Throw Set,Home,Central,Web,1,88.00,42.00,3.52,84.48,42.00,Email Retention,0.00
LINE-0000007,ORD-000006,2024-01-02,CUST-0217,Loyal,PROD-KIT-003,Acacia Cutting Board,Kitchen,Central,Retail Pop-up,1,54.00,25.00,1.08,52.92,25.00,Local Event,13.39
LINE-0000008,ORD-000006,2024-01-02,CUST-0217,Loyal,PROD-WEL-001,Recovery Massage Kit,Wellness,Central,Retail Pop-up,1,118.00,58.00,2.36,115.64,58.00,Local Event,0.00
LINE-0000009,ORD-000007,2024-01-02,CUST-0548,Occasional,PROD-WEL-001,Recovery Massage Kit,Wellness,West,Marketplace,1,118.00,58.00,3.54,114.46,58.00,Sponsored Listings,45.07
LINE-0000010,ORD-000007,2024-01-02,CUST-0548,Occasional,PROD-HOM-001,Linen Throw Set,Home,West,Marketplace,1,88.00,42.00,7.04,80.96,42.00,Sponsored Listings,0.00
LINE-0000011,ORD-000007,2024-01-02,CUST-0548,Occasional,PROD-WEL-002,Botanical Bath Set,Wellness,West,Marketplace,1,64.00,28.00,1.92,62.08,28.00,Sponsored Listings,0.00
LINE-0000012,ORD-000008,2024-01-02,CUST-0950,,PROD-HOM-001,Linen Throw Set,Home,East,Marketplace,1,88.00,42.00,2.64,85.36,42.00,Sponsored Listings,34.53
LINE-0000013,ORD-000008,2024-01-02,CUST-0950,,PROD-KIT-002,Glass Meal Prep Set,Kitchen,East,Marketplace,1,58.00,27.00,1.74,56.26,27.00,Sponsored Listings,0.00
LINE-0000014,ORD-000008,2024-01-02,CUST-0950,,PROD-OUT-003,Enamel Camp Mug Set,Outdoor,East,Marketplace,1,44.00,35.00,1.32,42.68,35.00,Sponsored Listings,0.00
LINE-0000015,ORD-000009,2024-01-03,CUST-0192,Loyal,PROD-HOM-001,Linen Throw Set,Home,West,Web,1,88.00,42.00,3.52,84.48,42.00,Email Retention,4.58
LINE-0000016,ORD-000009,2024-01-03,CUST-0192,Loyal,PROD-WEL-003,Yoga Support Bundle,Wellness,West,Web,1,92.00,42.00,3.68,88.32,42.00,Email Retention,0.00
LINE-0000017,ORD-000010,2024-01-03,CUST-0655,New,PROD-WEL-003,Yoga Support Bundle,Wellness,South,Marketplace,1,92.00,42.00,2.76,89.24,42.00,Sponsored Listings,27.53
LINE-0000018,ORD-000010,2024-01-03,CUST-0655,New,PROD-WEL-002,Botanical Bath Set,Wellness,South,Marketplace,1,64.00,28.00,1.92,62.08,28.00,Sponsored Listings,0.00
LINE-0000019,ORD-000011,2024-01-03,CUST-0562,Occasional,PROD-HOM-001,Linen Throw Set,Home,West,Web,2,88.00,42.00,8.80,167.20,84.00,Organic Discovery,0.00
LINE-0000020,ORD-000012,2024-01-03,CUST-1174,New,PROD-HOM-001,Linen Throw Set,Home,West,Web,1,88.00,42.00,0.00,88.00,42.00,Organic Discovery,0.00
LINE-0000021,ORD-000013,2024-01-04,CUST-0613,New,PROD-HOM-001,Linen Throw Set,Home,West,Web,1,88.00,42.00,1.76,86.24,42.00,Paid Social,11.25
LINE-0000022,ORD-000014,2024-01-04,CUST-0159,Loyal,PROD-HOM-001,Linen Throw Set,Home,West,Web,1,88.00,42.00,1.76,86.24,42.00,Paid Social,12.29
LINE-0000023,ORD-000015,2024-01-04,CUST-0126,Loyal,PROD-HOM-001,Linen Throw Set,Home,South,Web,1,88.00,42.00,3.52,84.48,42.00,Email Retention,2.01
LINE-0000024,ORD-000016,2024-01-04,CUST-0279,Occasional,PROD-WEL-002,Botanical Bath Set,Wellness,West,Retail Pop-up,2,64.00,28.00,2.56,125.44,56.00,Local Event,16.55
LINE-0000025,ORD-000016,2024-01-04,CUST-0279,Occasional,PROD-HOM-001,Linen Throw Set,Home,West,Retail Pop-up,1,88.00,42.00,1.76,86.24,42.00,Local Event,0.00
LINE-0000026,ORD-000017,2024-01-05,CUST-0093,Loyal,PROD-OUT-001,Trail Hydration Pack,Outdoor,West,Retail Pop-up,1,74.00,34.00,0.00,74.00,34.00,Community Referral,2.25
LINE-0000027,ORD-000018,2024-01-05,CUST-0544,Occasional,PROD-KIT-002,Glass Meal Prep Set,Kitchen,West,Marketplace,1,58.00,27.00,1.74,56.26,27.00,Sponsored Listings,9.48
LINE-0000028,ORD-000019,2024-01-05,CUST-0178,Loyal,PROD-HOM-003,Everyday Candle Trio,Home,South,Web,1,36.00,14.00,1.44,34.56,14.00,Email Retention,0.86
LINE-0000029,ORD-000020,2024-01-05,CUST-0529,,PROD-HOM-001,Linen Throw Set,Home,South,Marketplace,1,88.00,42.00,2.64,85.36,42.00,Sponsored Listings,15.64
LINE-0000030,ORD-000021,2024-01-06,CUST-0569,Occasional,PROD-WEL-002,Botanical Bath Set,Wellness,South,Web,1,64.00,28.00,1.28,62.72,28.00,Paid Social,9.20
LINE-0000031,ORD-000022,2024-01-06,CUST-0307,Occasional,PROD-HOM-001,Linen Throw Set,Home,East,Web,1,88.00,42.00,1.76,86.24,42.00,Paid Social,64.89
LINE-0000032,ORD-000022,2024-01-06,CUST-0307,Occasional,PROD-WEL-001,Recovery Massage Kit,Wellness,East,Web,3,118.00,58.00,7.08,346.92,174.00,Paid Social,0.00
LINE-0000033,ORD-000022,2024-01-06,CUST-0307,Occasional,PROD-WEL-002,Botanical Bath Set,Wellness,East,Web,1,64.00,28.00,1.28,62.72,28.00,Paid Social,0.00
LINE-0000034,ORD-000023,2024-01-06,CUST-0311,Occasional,PROD-WEL-002,Botanical Bath Set,Wellness,East,Web,1,64.00,28.00,0.00,64.00,28.00,Organic Discovery,0.00
LINE-0000035,ORD-000024,2024-01-06,CUST-1068,New,PROD-HOM-002,Stoneware Serving Bowl,Home,Central,Retail Pop-up,2,62.00,31.00,2.48,121.52,62.00,Local Event,9.02
LINE-0000036,ORD-000025,2024-01-06,CUST-0679,New,PROD-WEL-003,Yoga Support Bundle,Wellness,South,Web,2,92.00,42.00,7.36,176.64,84.00,Email Retention,4.47
LINE-0000037,ORD-000026,2024-01-07,CUST-0287,Occasional,PROD-WEL-003,Yoga Support Bundle,Wellness,Central,Retail Pop-up,2,92.00,42.00,9.20,174.80,84.00,Community Referral,11.67
LINE-0000038,ORD-000026,2024-01-07,CUST-0287,Occasional,PROD-WOR-002,Felt Desk Organizer,Workspace,Central,Retail Pop-up,2,48.00,20.00,0.00,96.00,40.00,Community Referral,0.00
LINE-0000039,ORD-000026,2024-01-07,CUST-0287,Occasional,PROD-WEL-002,Botanical Bath Set,Wellness,Central,Retail Pop-up,2,64.00,28.00,0.00,128.00,56.00,Community Referral,0.00
LINE-0000040,ORD-000027,2024-01-07,CUST-0127,Loyal,PROD-HOM-001,Linen Throw Set,Home,Central,Web,1,88.00,42.00,0.00,88.00,42.00,Organic Discovery,0.00
LINE-0000041,ORD-000027,2024-01-07,CUST-0127,Loyal,PROD-KIT-002,Glass Meal Prep Set,Kitchen,Central,Web,1,58.00,27.00,0.00,58.00,27.00,Organic Discovery,0.00
LINE-0000042,ORD-000028,2024-01-07,CUST-1192,New,PROD-HOM-003,Everyday Candle Trio,Home,East,Marketplace,1,36.00,14.00,1.08,34.92,14.00,Sponsored Listings,5.82
LINE-0000043,ORD-000029,2024-01-07,CUST-0548,Occasional,PROD-HOM-001,Linen Throw Set,Home,Central,Web,3,88.00,42.00,10.56,253.44,126.00,Email Retention,6.20
LINE-0000044,ORD-000030,2024-01-07,CUST-0761,New,PROD-HOM-001,Linen Throw Set,Home,South,Retail Pop-up,1,88.00,42.00,6.16,81.84,42.00,Local Event,6.22
LINE-0000045,ORD-000031,2024-01-08,CUST-0190,Loyal,PROD-WOR-001,Focus Desk Lamp,Workspace,Central,Marketplace,1,96.00,42.00,2.88,93.12,42.00,Sponsored Listings,50.87
LINE-0000046,ORD-000031,2024-01-08,CUST-0190,Loyal,PROD-HOM-001,Linen Throw Set,Home,Central,Marketplace,2,88.00,42.00,5.28,170.72,84.00,Sponsored Listings,0.00
LINE-0000047,ORD-000032,2024-01-08,CUST-0173,Loyal,PROD-WEL-001,Recovery Massage Kit,Wellness,West,Web,1,118.00,58.00,0.00,118.00,58.00,Organic Discovery,0.00
LINE-0000048,ORD-000033,2024-01-08,CUST-0158,Loyal,PROD-OUT-001,Trail Hydration Pack,Outdoor,West,Retail Pop-up,2,74.00,34.00,2.96,145.04,68.00,Local Event,29.66
LINE-0000049,ORD-000033,2024-01-08,CUST-0158,Loyal,PROD-HOM-001,Linen Throw Set,Home,West,Retail Pop-up,2,88.00,42.00,3.52,172.48,84.00,Local Event,0.00
LINE-0000050,ORD-000033,2024-01-08,CUST-0158,Loyal,PROD-OUT-002,Weatherproof Picnic Blanket,Outdoor,West,Retail Pop-up,1,68.00,30.00,1.36,66.64,30.00,Local Event,0.00
LINE-0000051,ORD-000034,2024-01-08,CUST-0074,Loyal,PROD-KIT-001,Essential Cookware Set,Kitchen,Central,Marketplace,1,220.00,197.00,6.60,213.40,197.00,Sponsored Listings,65.73
LINE-0000052,ORD-000034,2024-01-08,CUST-0074,Loyal,PROD-KIT-003,Acacia Cutting Board,Kitchen,Central,Marketplace,1,54.00,25.00,4.32,49.68,25.00,Sponsored Listings,0.00
LINE-0000053,ORD-000034,2024-01-08,CUST-0074,Loyal,PROD-WEL-003,Yoga Support Bundle,Wellness,Central,Marketplace,1,92.00,42.00,2.76,89.24,42.00,Sponsored Listings,0.00
LINE-0000054,ORD-000035,2024-01-08,CUST-0373,Occasional,PROD-HOM-001,Linen Throw Set,Home,South,Web,1,88.00,42.00,6.16,81.84,42.00,Paid Social,42.16
LINE-0000055,ORD-000035,2024-01-08,CUST-0373,Occasional,PROD-KIT-001,Essential Cookware Set,Kitchen,South,Web,1,220.00,197.00,4.40,215.60,197.00,Paid Social,0.00
LINE-0000056,ORD-000036,2024-01-09,CUST-0654,New,PROD-KIT-001,Essential Cookware Set,Kitchen,South,Marketplace,1,220.00,197.00,6.60,213.40,197.00,Sponsored Listings,41.33
LINE-0000057,ORD-000037,2024-01-09,CUST-0420,Occasional,PROD-WEL-002,Botanical Bath Set,Wellness,West,Web,3,64.00,28.00,0.00,192.00,84.00,Organic Discovery,0.00
LINE-0000058,ORD-000037,2024-01-09,CUST-0420,Occasional,PROD-HOM-001,Linen Throw Set,Home,West,Web,2,88.00,42.00,0.00,176.00,84.00,Organic Discovery,0.00
LINE-0000059,ORD-000038,2024-01-09,CUST-0265,Occasional,PROD-HOM-001,Linen Throw Set,Home,West,Retail Pop-up,1,88.00,42.00,4.40,83.60,42.00,Community Referral,2.52
LINE-0000060,ORD-000039,2024-01-09,CUST-0043,Loyal,PROD-HOM-001,Linen Throw Set,Home,East,Web,1,88.00,42.00,0.00,88.00,42.00,Organic Discovery,0.00
LINE-0000061,ORD-000040,2024-01-10,CUST-0101,Loyal,PROD-HOM-001,Linen Throw Set,Home,East,Web,3,88.00,42.00,18.48,245.52,126.00,Paid Social,34.92
LINE-0000062,ORD-000041,2024-01-10,CUST-0526,Occasional,PROD-WEL-003,Yoga Support Bundle,Wellness,East,Marketplace,1,92.00,42.00,2.76,89.24,42.00,Sponsored Listings,23.46
LINE-0000063,ORD-000041,2024-01-10,CUST-0526,Occasional,PROD-HOM-003,Everyday Candle Trio,Home,East,Marketplace,1,36.00,14.00,1.08,34.92,14.00,Sponsored Listings,0.00
LINE-0000064,ORD-000042,2024-01-10,CUST-0612,New,PROD-KIT-003,Acacia Cutting Board,Kitchen,East,Web,1,54.00,25.00,0.00,54.00,25.00,Organic Discovery,0.00
LINE-0000065,ORD-000043,2024-01-10,CUST-0640,New,PROD-WOR-001,Focus Desk Lamp,Workspace,East,Web,1,96.00,42.00,3.84,92.16,42.00,Email Retention,2.44
LINE-0000066,ORD-000044,2024-01-11,CUST-0024,Loyal,PROD-WOR-002,Felt Desk Organizer,Workspace,South,Marketplace,3,48.00,20.00,4.32,139.68,60.00,Sponsored Listings,49.75
LINE-0000067,ORD-000044,2024-01-11,CUST-0024,Loyal,PROD-HOM-001,Linen Throw Set,Home,South,Marketplace,1,88.00,42.00,2.64,85.36,42.00,Sponsored Listings,0.00
LINE-0000068,ORD-000044,2024-01-11,CUST-0024,Loyal,PROD-KIT-002,Glass Meal Prep Set,Kitchen,South,Marketplace,1,58.00,27.00,1.74,56.26,27.00,Sponsored Listings,0.00
LINE-0000069,ORD-000045,2024-01-11,CUST-0894,New,PROD-WOR-002,Felt Desk Organizer,Workspace,Central,Web,1,48.00,20.00,3.36,44.64,20.00,Paid Social,17.23
LINE-0000070,ORD-000045,2024-01-11,CUST-0894,New,PROD-HOM-001,Linen Throw Set,Home,Central,Web,1,88.00,42.00,1.76,86.24,42.00,Paid Social,0.00
LINE-0000071,ORD-000046,2024-01-11,CUST-0100,Loyal,PROD-HOM-001,Linen Throw Set,Home,East,Retail Pop-up,1,88.00,42.00,0.00,88.00,42.00,Community Referral,2.70
LINE-0000072,ORD-000047,2024-01-11,CUST-0155,Loyal,PROD-WEL-002,Botanical Bath Set,Wellness,West,Marketplace,1,64.00,28.00,5.12,58.88,28.00,Sponsored Listings,10.14
LINE-0000073,ORD-000048,2024-01-12,CUST-0526,Occasional,PROD-HOM-001,Linen Throw Set,Home,West,Web,1,88.00,42.00,0.00,88.00,42.00,Organic Discovery,0.00
LINE-0000074,ORD-000048,2024-01-12,CUST-0526,Occasional,PROD-KIT-001,Essential Cookware Set,Kitchen,West,Web,1,220.00,197.00,0.00,220.00,197.00,Organic Discovery,0.00
LINE-0000075,ORD-000049,2024-01-12,CUST-0710,New,PROD-HOM-001,Linen Throw Set,Home,Central,Web,2,88.00,42.00,7.04,168.96,84.00,Email Retention,4.43
LINE-0000076,ORD-000050,2024-01-12,CUST-0425,Occasional,PROD-HOM-001,Linen Throw Set,Home,West,Retail Pop-up,1,88.00,42.00,1.76,86.24,42.00,Local Event,7.29
LINE-0000077,ORD-000051,2024-01-12,CUST-0097,Loyal,PROD-WOR-002,Felt Desk Organizer,Workspace,South,Web,1,48.00,20.00,3.36,44.64,20.00,Paid Social,6.64
LINE-0000078,ORD-000052,2024-01-13,CUST-0159,Loyal,PROD-WEL-003,Yoga Support Bundle,Wellness,West,Marketplace,1,92.00,42.00,2.76,89.24,42.00,Sponsored Listings,15.37
LINE-0000079,ORD-000053,2024-01-13,CUST-0120,Loyal,PROD-WEL-003,Yoga Support Bundle,Wellness,West,Web,1,92.00,42.00,0.00,92.00,42.00,Organic Discovery,0.00
LINE-0000080,ORD-000053,2024-01-13,CUST-0120,Loyal,PROD-HOM-002,Stoneware Serving Bowl,Home,West,Web,1,62.00,31.00,0.00,62.00,31.00,Organic Discovery,0.00
